time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-11T18:38:52.809+0300,8.0,4.0,45250,30306,21870,13183,10194,10079,8802,2758
2017-05-11T18:38:53.817+0300,8.0,4.0,27774,49487,6129,10058,4465,4101,1808,1868
2017-05-11T18:38:54.793+0300,8.0,4.0,7839,8195,5012,7577,4041,2259,1609,846
2017-05-11T18:38:55.783+0300,8.0,4.0,9520,8659,1916,1286,1402,5141,4485,1378
2017-05-11T18:38:56.774+0300,8.0,4.0,9181,23964,3143,6265,9649,3935,2854,1580
2017-05-11T18:39:02.741+0300,8.0,4.0,9648,5067,1538,6282,1108,1459,1165,1648
2017-05-11T18:39:03.731+0300,8.0,4.0,10981,9012,6293,1107,6570,5619,1095,542
2017-05-11T18:39:04.718+0300,8.0,4.0,3696,9684,7904,1487,2433,3119,940,814
2017-05-11T18:39:05.711+0300,8.0,4.0,6683,2786,354,2587,1929,5317,1465,1291
2017-05-11T18:39:06.704+0300,8.0,4.0,7181,19197,3045,6138,4168,8067,1132,933
2017-05-11T18:39:07.708+0300,8.0,4.0,3628,4658,17053,3449,4586,21363,966,1039
2017-05-11T18:39:13.655+0300,8.0,4.0,7041,3217,1636,2371,2230,5416,1760,897
2017-05-11T18:39:14.645+0300,8.0,4.0,4530,7885,2173,4452,1859,4531,2358,1047
2017-05-11T18:39:15.654+0300,8.0,4.0,8912,3066,1371,6124,3953,4495,3542,559
2017-05-11T18:39:16.630+0300,8.0,4.0,3070,9671,4078,9140,2112,5507,1393,880
2017-05-11T18:39:17.623+0300,8.0,4.0,7409,14804,1958,4984,12969,4038,3270,1316
2017-05-11T18:39:18.628+0300,8.0,4.0,7543,7263,2732,4489,4017,9685,976,1684
2017-05-11T18:39:22.593+0300,8.0,4.0,20576,7848,6636,1955,5965,4513,1724,912
2017-05-11T18:39:23.584+0300,8.0,4.0,1917,8631,4249,3451,8503,4590,3674,1086
2017-05-11T18:39:24.575+0300,8.0,4.0,8315,12354,2550,6237,1930,11415,1450,2223
2017-05-11T18:39:25.581+0300,8.0,4.0,24586,3980,997,6169,2807,5258,1698,966
2017-05-11T18:39:37.476+0300,8.0,4.0,2159,10148,1553,1532,3309,2520,875,792
2017-05-11T18:39:38.484+0300,8.0,4.0,8338,11455,5275,5591,3301,3294,2027,1214
2017-05-11T18:39:40.451+0300,8.0,4.0,295118,6251,2889,5296,1441,1212,717,456
2017-05-11T18:39:42.448+0300,8.0,4.0,2589,1579,12061,3194,1239,6066,1321,940
2017-05-11T18:39:43.437+0300,8.0,4.0,6497,6475,3601,3375,2053,2964,1447,758
2017-05-11T18:39:44.426+0300,8.0,4.0,10255,6193,12381,3808,7754,5772,3308,728
2017-05-11T18:39:45.423+0300,8.0,4.0,8565,3867,3393,3006,8903,3382,1828,865
2017-05-11T18:39:46.412+0300,8.0,4.0,13015,4032,1343,1261,5239,2377,1853,545
2017-05-11T18:39:47.421+0300,8.0,4.0,9634,10180,5887,4016,3551,5185,2512,732
2017-05-11T18:39:48.411+0300,8.0,4.0,9062,10180,6298,2037,4525,3919,2329,791
2017-05-11T18:39:49.399+0300,8.0,4.0,2728,7847,2228,3923,5594,11254,3362,758
2017-05-11T18:39:52.372+0300,8.0,4.0,3461,4757,6666,7558,4939,3217,1149,1550
2017-05-11T18:39:53.363+0300,8.0,4.0,6544,7254,4967,2686,4416,3685,2799,920
2017-05-11T18:39:54.356+0300,8.0,4.0,3386,10499,2459,1623,3330,3202,1035,1035
2017-05-11T18:39:55.360+0300,8.0,4.0,6239,7579,6825,4021,3707,2228,1750,1569
2017-05-11T18:39:56.349+0300,8.0,4.0,7500,5743,4959,3855,3806,4887,2557,641
2017-05-11T18:39:57.343+0300,8.0,4.0,3701,10276,5354,10192,9079,5974,3008,1460
2017-05-11T18:39:58.329+0300,8.0,4.0,37760,2839,1834,3287,3799,2814,1274,1215
2017-05-11T18:39:59.325+0300,8.0,4.0,5915,11016,545,2984,6456,2238,1837,1801
