time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-11T18:46:09.586+0300,8.0,4.0,6464,4990,491,1264,3104,4913,1238,960
2017-05-11T18:46:14.545+0300,8.0,4.0,1529,3120,4182,1329,2623,2264,1152,1751
2017-05-11T18:46:15.532+0300,8.0,4.0,7885,7845,4461,6445,3307,2520,1181,487
2017-05-11T18:46:16.541+0300,8.0,4.0,4196,4965,4346,2991,5217,10535,2958,1006
2017-05-11T18:46:17.514+0300,8.0,4.0,861,8749,7301,4939,2942,3214,1654,768
2017-05-11T18:46:18.525+0300,8.0,4.0,10924,8094,6637,2775,3622,3411,3466,1039
2017-05-11T18:46:19.508+0300,8.0,4.0,4024,2962,2965,8227,3251,2787,920,1259
2017-05-11T18:46:20.496+0300,8.0,4.0,2403,4495,636,3102,3744,5455,1118,639
2017-05-11T18:46:21.504+0300,8.0,4.0,5342,2541,1769,440,2532,4452,588,988
2017-05-11T18:46:22.495+0300,8.0,4.0,11465,10622,5380,4642,1190,2957,1615,1366
2017-05-11T18:46:23.487+0300,8.0,4.0,10662,3127,5534,3042,2597,2606,996,1476
2017-05-11T18:46:24.477+0300,8.0,4.0,7005,5571,5857,4894,5240,3129,1924,2870
2017-05-11T18:46:25.464+0300,8.0,4.0,4105,3096,5397,4054,2327,1830,2035,831
2017-05-11T18:46:26.457+0300,8.0,4.0,3902,10501,9985,5355,3652,2036,1747,1928
2017-05-11T18:46:27.446+0300,8.0,4.0,17957,3369,1064,1428,2206,2804,2250,1070
2017-05-11T18:46:28.440+0300,8.0,4.0,5460,7412,3161,4709,6855,3309,1452,781
2017-05-11T18:46:29.434+0300,8.0,4.0,1796,7090,9689,4176,5812,2946,3057,1603
2017-05-11T18:46:30.423+0300,8.0,4.0,6537,20008,7501,3986,5860,3109,981,870
2017-05-11T18:46:31.411+0300,8.0,4.0,2148,12692,1369,4445,5976,1858,1201,1418
2017-05-11T18:46:32.423+0300,8.0,4.0,15957,1342,6466,4192,2019,1773,1031,924
2017-05-11T18:46:33.415+0300,8.0,4.0,5172,14008,3127,6252,11296,6673,925,1045
2017-05-11T18:46:34.411+0300,8.0,4.0,4462,4645,5640,6515,8547,6315,1178,1411
2017-05-11T18:46:35.384+0300,8.0,4.0,8903,5434,13277,14533,20280,5167,1160,951
2017-05-11T18:46:36.390+0300,8.0,4.0,7838,26349,1856,37257,18600,9050,2841,1697
2017-05-11T18:46:37.376+0300,8.0,4.0,3375,8763,8074,11047,5962,6290,2349,1171
2017-05-11T18:46:38.364+0300,8.0,4.0,5812,8274,2130,3433,4494,2997,1076,1286
2017-05-11T18:46:39.371+0300,8.0,4.0,3569,4049,2994,4539,6847,5178,1312,1083
2017-05-11T18:46:40.345+0300,8.0,4.0,3260,1421,1019,137,888,1615,700,484
2017-05-11T18:46:41.354+0300,8.0,4.0,8956,9875,6931,1350,8188,5771,1325,1017
2017-05-11T18:46:46.320+0300,8.0,4.0,2785,3533,3189,2016,2501,7267,3343,1469
2017-05-11T18:46:47.313+0300,8.0,4.0,5365,8010,585,1731,11349,6175,3905,407
2017-05-11T18:46:48.303+0300,8.0,4.0,4028,8065,3382,8889,7051,3902,1278,1554
2017-05-11T18:46:57.235+0300,8.0,4.0,55188,36776,3198,1207,2916,3021,1208,476
2017-05-11T18:46:58.224+0300,8.0,4.0,7995,7974,7136,10441,4448,1976,2133,2169
2017-05-11T18:47:00.202+0300,8.0,4.0,3478,10722,2862,5220,5058,3601,2946,1473
2017-05-11T18:47:02.200+0300,8.0,4.0,4581,7917,7946,381,1495,6863,1553,887
2017-05-11T18:47:03.189+0300,8.0,4.0,3028,9963,4056,5557,3593,5107,984,1309
2017-05-11T18:47:04.180+0300,8.0,4.0,3707,4578,1240,1612,4978,1676,581,1336
2017-05-11T18:47:12.113+0300,8.0,4.0,728,2713,5237,8437,13173,3051,2346,1188
2017-05-11T18:47:13.123+0300,8.0,4.0,7497,11267,3153,5083,14461,2018,2944,899
