time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-11T18:36:49.721+0300,8.0,4.0,8851,13758,4010,4001,6727,4212,2173,1153
2017-05-11T18:36:51.699+0300,8.0,4.0,6205,9218,2114,3096,710,5888,1013,1241
2017-05-11T18:36:52.705+0300,8.0,4.0,4112,8346,513,8030,3780,4035,2487,706
2017-05-11T18:36:53.695+0300,8.0,4.0,21142,7865,10636,9351,6638,4883,3438,2073
2017-05-11T18:36:54.689+0300,8.0,4.0,1950,17028,3296,1404,11276,3208,1997,2034
2017-05-11T18:36:55.681+0300,8.0,4.0,21999,14569,13968,8758,4361,2164,2639,1786
2017-05-11T18:36:56.670+0300,8.0,4.0,9801,3947,3028,2905,2500,3330,2365,1449
2017-05-11T18:36:57.660+0300,8.0,4.0,5984,5102,4721,5216,2289,3593,3056,809
2017-05-11T18:36:58.667+0300,8.0,4.0,11293,1096,5760,1341,5033,1256,2285,459
2017-05-11T18:36:59.645+0300,8.0,4.0,3153,8762,2043,5603,2386,3899,1292,1164
2017-05-11T18:37:00.635+0300,8.0,4.0,1122,2981,1291,2792,867,664,400,227
2017-05-11T18:37:01.645+0300,8.0,4.0,11356,7988,959,6880,456,4836,1126,1884
2017-05-11T18:37:02.636+0300,8.0,4.0,2872,18606,5788,3470,6570,1911,2162,1916
2017-05-11T18:37:03.624+0300,8.0,4.0,12482,24118,19500,6706,9034,10208,4002,1885
2017-05-11T18:37:04.613+0300,8.0,4.0,7242,5515,7166,8213,2092,3204,937,2121
2017-05-11T18:37:06.597+0300,8.0,4.0,11683,7164,5257,2782,8362,3884,1622,1412
2017-05-11T18:37:07.585+0300,8.0,4.0,7058,15720,2840,9455,9127,5182,1032,1368
2017-05-11T18:37:08.577+0300,8.0,4.0,7683,3401,1465,1416,4935,4930,1226,858
2017-05-11T18:37:09.584+0300,8.0,4.0,6643,5465,4162,879,1097,4458,1202,649
2017-05-11T18:37:10.575+0300,8.0,4.0,4009,5169,765,2324,8313,6977,2151,1273
2017-05-11T18:37:11.569+0300,8.0,4.0,6000,1502,2096,3131,4373,3218,2002,939
2017-05-11T18:37:12.545+0300,8.0,4.0,6838,12727,1181,1124,2010,4681,2580,1685
2017-05-11T18:37:13.555+0300,8.0,4.0,2242,3603,5750,1941,9385,2236,1677,1638
2017-05-11T18:37:14.544+0300,8.0,4.0,2606,8359,617,773,3207,4138,2175,495
2017-05-11T18:37:15.533+0300,8.0,4.0,7508,5037,2770,6156,6456,6596,1580,784
2017-05-11T18:37:16.525+0300,8.0,4.0,6808,9783,1281,948,3331,4486,648,1019
2017-05-11T18:37:17.518+0300,8.0,4.0,5039,7264,1700,3864,5962,6258,2474,1066
2017-05-11T18:37:18.505+0300,8.0,4.0,3793,5402,2596,2618,3116,4852,1105,489
2017-05-11T18:37:19.495+0300,8.0,4.0,24518,3812,2511,4684,2548,5426,1504,667
2017-05-11T18:37:20.507+0300,8.0,4.0,15764,10817,1291,2484,12419,6851,1389,1209
2017-05-11T18:37:21.493+0300,8.0,4.0,15993,17181,1914,1233,10137,5478,1101,1427
2017-05-11T18:37:22.486+0300,8.0,4.0,13702,21799,5811,2981,1204,3452,4037,4828
2017-05-11T18:37:23.480+0300,8.0,4.0,3621,2974,12942,2290,4361,3752,1660,862
2017-05-11T18:37:24.469+0300,8.0,4.0,15246,8190,10483,7851,9612,5328,1145,1119
2017-05-11T18:37:25.459+0300,8.0,4.0,8446,2608,1160,615,4759,4378,1153,686
2017-05-11T18:37:26.448+0300,8.0,4.0,2643,8870,2876,3249,2022,2147,810,760
2017-05-11T18:37:27.436+0300,8.0,4.0,14405,8204,984,580,3119,3671,1319,1733
2017-05-11T18:37:28.430+0300,8.0,4.0,2846,2676,2386,1288,3832,4322,1765,1080
2017-05-11T18:37:29.425+0300,8.0,4.0,2132,13187,2836,2645,12133,5688,1531,841
2017-05-11T18:37:30.414+0300,8.0,4.0,1089,8274,1738,1320,4530,3229,880,1511
