time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-29T12:09:57.366+0300,8.0,4.0,570027,739961,62978,18224,6670,65524,17009,8452
2017-05-29T12:09:58.353+0300,8.0,4.0,650257,639894,142571,29208,52897,78492,53509,13997
2017-05-29T12:09:59.340+0300,8.0,4.0,514406,351594,154667,106677,25590,91016,17434,8635
2017-05-29T12:10:00.327+0300,8.0,4.0,1904127,147142,190181,17411,27411,21090,17530,24954
2017-05-29T12:10:02.311+0300,8.0,4.0,1451862,86519,96560,55140,5537,25876,21744,12194
2017-05-29T12:10:03.298+0300,8.0,4.0,666431,271843,76367,66138,41588,60753,30250,24533
2017-05-29T12:10:04.310+0300,8.0,4.0,1097650,208411,43290,41651,12145,46264,36493,15746
2017-05-29T12:10:05.300+0300,8.0,4.0,990495,71097,15749,26768,15186,16950,4914,1556
2017-05-29T12:10:06.288+0300,8.0,4.0,432688,113185,8405,47632,11746,9751,5224,6097
2017-05-29T12:10:07.290+0300,8.0,4.0,181280,261005,86712,107473,37081,124348,27629,27051
2017-05-29T12:10:08.276+0300,8.0,4.0,69602,44534,20729,5647,13976,5884,2518,4199
2017-05-29T12:10:09.267+0300,8.0,4.0,1099571,474429,151507,69509,93089,37102,22374,15420
2017-05-29T12:10:10.256+0300,8.0,4.0,588860,272439,94553,36929,24619,78860,17165,2227
2017-05-29T12:10:11.242+0300,8.0,4.0,619009,361883,97381,72764,19328,58101,30054,30609
2017-05-29T12:10:12.255+0300,8.0,4.0,265926,28770,6313,5736,2727,6721,5224,2261
2017-05-29T12:10:13.245+0300,8.0,4.0,37826,114241,24351,4530,12378,9118,2285,11402
2017-05-29T12:10:14.239+0300,8.0,4.0,248180,92709,13878,12783,6133,21946,5843,9120
2017-05-29T12:10:15.223+0300,8.0,4.0,108791,12060,58254,10501,4826,7864,6723,7330
2017-05-29T12:10:16.212+0300,8.0,4.0,156808,126527,12708,43644,14054,25693,6178,1765
2017-05-29T12:10:17.203+0300,8.0,4.0,583328,411083,120625,37029,6892,44569,16879,3657
2017-05-29T12:10:18.188+0300,8.0,4.0,199268,112317,50658,5340,7495,13246,4670,718
2017-05-29T12:10:19.201+0300,8.0,4.0,168468,19784,13550,4550,8138,8272,1870,1740
2017-05-29T12:10:20.191+0300,8.0,4.0,1461570,448995,50266,11052,35004,72563,32233,23354
2017-05-29T12:10:21.180+0300,8.0,4.0,2126325,535519,38839,81564,42382,68325,9816,6722
2017-05-29T12:10:22.171+0300,8.0,4.0,369976,196774,62481,66772,45944,64441,27234,8312
2017-05-29T12:10:23.179+0300,8.0,4.0,500702,478579,7321,59638,86584,41095,16249,40050
2017-05-29T12:10:24.193+0300,8.0,4.0,1128429,112799,2778,23713,25015,16192,18682,7570
2017-05-29T12:10:25.143+0300,8.0,4.0,1165263,646873,327582,153531,35458,94041,31393,14688
2017-05-29T12:10:26.154+0300,8.0,4.0,2427310,1487595,222169,155068,65627,81257,78212,103673
2017-05-29T12:10:27.144+0300,8.0,4.0,513759,506025,47964,43527,30441,38603,13256,33536
2017-05-29T12:10:28.136+0300,8.0,4.0,269148,12990,5105,9794,2680,9916,1700,1467
2017-05-29T12:10:29.126+0300,8.0,4.0,1072591,260239,73466,41092,20296,92920,107128,44594
2017-05-29T12:10:30.118+0300,8.0,4.0,618898,208069,78987,142759,28719,49333,46924,29330
2017-05-29T12:10:31.107+0300,8.0,4.0,467326,62112,58559,8067,4131,8241,1521,1456
2017-05-29T12:10:32.097+0300,8.0,4.0,316907,280298,75446,46181,44171,55058,28146,42951
2017-05-29T12:10:33.085+0300,8.0,4.0,421032,152726,105605,9315,30647,54587,5682,25000
2017-05-29T12:10:34.077+0300,8.0,4.0,588127,135221,101277,34432,17476,43016,14846,8151
2017-05-29T12:10:35.070+0300,8.0,4.0,703837,509532,24253,25235,9770,39594,10340,6901
2017-05-29T12:10:36.080+0300,8.0,4.0,1150262,158572,34441,36534,13540,17922,7836,11993
2017-05-29T12:10:37.088+0300,8.0,4.0,764800,101803,5323,7660,10828,11745,11275,12029
