time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-31T12:59:11.747+0300,8.0,4.0,1298573,138546,16948,26632,63281,11053,7937,45015
2017-05-31T12:59:12.734+0300,8.0,4.0,126445,30404,2425,3107,4190,3439,4285,14627
2017-05-31T12:59:13.721+0300,8.0,4.0,1540064,193673,24182,12910,15433,14119,5567,63870
2017-05-31T12:59:14.711+0300,8.0,4.0,279425,116717,20120,2644,2868,3752,5113,15333
2017-05-31T12:59:15.702+0300,8.0,4.0,71110,5550,4869,434,307,1523,378,4422
2017-05-31T12:59:16.694+0300,8.0,4.0,472137,106897,25963,33280,33657,10209,2818,16853
2017-05-31T12:59:17.700+0300,8.0,4.0,871371,444083,54773,9414,12760,8119,10092,75452
2017-05-31T12:59:18.692+0300,8.0,4.0,233493,16693,2588,812,2095,970,386,3214
2017-05-31T12:59:19.674+0300,8.0,4.0,391792,809331,1574,48597,11370,24730,15318,57256
2017-05-31T12:59:20.684+0300,8.0,4.0,188580,9555,925,4095,5170,3110,2115,4991
2017-05-31T12:59:21.666+0300,8.0,4.0,456613,116079,63003,25387,18579,13202,7814,60568
2017-05-31T12:59:22.659+0300,8.0,4.0,244224,9793,11085,6543,9933,3866,1752,16434
2017-05-31T12:59:23.648+0300,8.0,4.0,1083228,357896,37757,39117,30254,20955,14456,77564
2017-05-31T12:59:24.636+0300,8.0,4.0,1104987,46561,38745,36557,24726,31073,17353,58075
2017-05-31T12:59:25.634+0300,8.0,4.0,235959,49841,9499,11323,3612,5526,1895,14571
2017-05-31T12:59:26.624+0300,8.0,4.0,492583,69446,9401,9351,4791,7457,2661,10255
2017-05-31T12:59:27.612+0300,8.0,4.0,2946955,171119,19114,48088,12458,11502,13509,66009
2017-05-31T12:59:28.621+0300,8.0,4.0,109848,10369,1113,1741,3321,1080,645,4131
2017-05-31T12:59:29.609+0300,8.0,4.0,517598,38555,8122,6543,4925,2750,3245,17770
2017-05-31T12:59:30.594+0300,8.0,4.0,341641,47710,20571,11872,7224,7782,4354,17017
2017-05-31T12:59:31.581+0300,8.0,4.0,185735,12790,1339,2430,5211,2855,948,20806
2017-05-31T12:59:32.592+0300,8.0,4.0,1024998,104558,11165,11462,9231,2202,4337,14312
2017-05-31T12:59:33.579+0300,8.0,4.0,219379,38242,3134,4920,8296,3475,973,16413
2017-05-31T12:59:34.567+0300,8.0,4.0,212497,100918,13416,2636,2808,4555,1579,16100
2017-05-31T12:59:35.558+0300,8.0,4.0,193336,14263,2330,2444,3407,1235,381,3546
2017-05-31T12:59:36.547+0300,8.0,4.0,335601,179331,6941,29102,15654,19863,5323,69614
2017-05-31T12:59:37.554+0300,8.0,4.0,77264,49143,706,11316,2256,3869,7644,20791
2017-05-31T12:59:38.543+0300,8.0,4.0,1024346,60895,5122,2015,22579,10898,2984,12289
2017-05-31T12:59:39.533+0300,8.0,4.0,431809,45546,30264,14826,8110,8280,6594,63432
2017-05-31T12:59:40.521+0300,8.0,4.0,116861,68762,6754,2826,4047,2793,3765,16887
2017-05-31T12:59:41.531+0300,8.0,4.0,1520596,176877,113147,51414,58612,17705,16540,58625
2017-05-31T12:59:42.518+0300,8.0,4.0,308389,12612,7158,943,2738,1183,890,3867
2017-05-31T12:59:43.507+0300,8.0,4.0,183063,30812,22592,11276,4847,2294,3360,14876
2017-05-31T12:59:44.499+0300,8.0,4.0,1969618,68744,15809,11618,8946,7231,2637,14028
2017-05-31T12:59:45.487+0300,8.0,4.0,1104683,67358,100873,16898,30330,54957,15561,46524
2017-05-31T12:59:46.475+0300,8.0,4.0,328512,34365,4303,9901,9505,10796,2020,13574
2017-05-31T12:59:47.483+0300,8.0,4.0,428931,219569,3862,21294,36869,8419,13007,70171
2017-05-31T12:59:48.471+0300,8.0,4.0,432182,499248,27374,64490,23628,19932,11323,88280
2017-05-31T12:59:49.460+0300,8.0,4.0,376159,58696,21541,8817,9472,9957,10657,68652
2017-05-31T12:59:50.453+0300,8.0,4.0,674488,11991,12987,6974,1917,5201,2066,16261
