time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-31T13:04:32.375+0300,8.0,4.0,2008735,584902,16215,44504,38452,8859,10660,55169
2017-05-31T13:04:33.365+0300,8.0,4.0,47314,31707,10289,13602,14706,12992,976,2580
2017-05-31T13:04:34.357+0300,8.0,4.0,401029,41079,3113,2189,7423,1637,1673,2379
2017-05-31T13:04:35.350+0300,8.0,4.0,1620690,101730,28600,13565,21912,8491,3058,48026
2017-05-31T13:04:36.345+0300,8.0,4.0,238609,61832,39227,38192,25044,17984,7212,58390
2017-05-31T13:04:37.339+0300,8.0,4.0,811939,272843,60684,19575,63135,28438,16618,10772
2017-05-31T13:04:38.331+0300,8.0,4.0,284201,343510,133153,54593,58777,16832,4283,69381
2017-05-31T13:04:39.323+0300,8.0,4.0,348980,775958,145828,11107,49246,9431,3046,73226
2017-05-31T13:04:40.333+0300,8.0,4.0,720464,183736,142123,21796,45076,9835,13656,77317
2017-05-31T13:04:41.326+0300,8.0,4.0,159692,168234,10108,58740,57238,38245,2895,22654
2017-05-31T13:04:42.297+0300,8.0,4.0,119750,145364,19973,5408,5338,16338,5625,74246
2017-05-31T13:04:43.308+0300,8.0,4.0,107571,7751,553,2617,2795,2546,2121,20226
2017-05-31T13:04:44.300+0300,8.0,4.0,131632,18507,16697,7689,7201,2333,1447,18557
2017-05-31T13:04:45.289+0300,8.0,4.0,1768667,258871,31940,29491,16928,9505,6197,84569
2017-05-31T13:04:46.281+0300,8.0,4.0,154172,30848,18323,2970,5881,5563,4801,100411
2017-05-31T13:04:47.270+0300,8.0,4.0,522900,35542,4531,1314,12689,7376,2279,90045
2017-05-31T13:04:48.258+0300,8.0,4.0,2070,3002,2510,2596,8098,8140,6861,107682
2017-05-31T13:04:49.251+0300,8.0,4.0,233404,78194,36619,34144,15518,9579,6073,92766
2017-05-31T13:04:50.246+0300,8.0,4.0,193312,92928,16509,17763,18132,4727,3568,19270
2017-05-31T13:04:51.238+0300,8.0,4.0,610102,172036,87194,159587,210170,339441,359812,140327
2017-05-31T13:04:52.235+0300,8.0,4.0,711097,31060,2740,984,3799,5664,7661,3794
2017-05-31T13:04:53.265+0300,8.0,4.0,21375,12208,1839,2729,9216,5814,1829,19492
2017-05-31T13:04:54.214+0300,8.0,4.0,8340,14578,21422,12919,13208,12058,4878,67782
2017-05-31T13:04:55.224+0300,8.0,4.0,522199,30941,12422,11502,6246,5303,3290,18561
2017-05-31T13:04:56.237+0300,8.0,4.0,57711,27651,3108,838,3866,5256,1646,19237
2017-05-31T13:04:57.207+0300,8.0,4.0,1734501,107819,83881,83464,69276,63893,12856,58198
2017-05-31T13:04:58.197+0300,8.0,4.0,560293,128231,68517,39210,20918,14961,6489,18080
2017-05-31T13:04:59.190+0300,8.0,4.0,1854907,368689,133804,67459,127217,78811,42046,20811
2017-05-31T13:05:00.181+0300,8.0,4.0,167187,40053,13416,4375,7407,2331,837,15476
2017-05-31T13:05:01.168+0300,8.0,4.0,770787,264591,14581,48131,15267,11994,3446,46322
2017-05-31T13:05:02.159+0300,8.0,4.0,372542,8574,2349,4176,4153,1770,1671,17267
2017-05-31T13:05:03.152+0300,8.0,4.0,19552,15927,4770,2833,2429,6088,1175,17451
2017-05-31T13:05:04.142+0300,8.0,4.0,316974,71246,13221,7181,3620,12310,5927,77088
2017-05-31T13:05:05.137+0300,8.0,4.0,128075,19100,4988,3135,8337,1144,1719,18555
2017-05-31T13:05:06.133+0300,8.0,4.0,416450,50007,24525,18499,4563,9529,4548,57198
2017-05-31T13:05:07.130+0300,8.0,4.0,211223,59234,11136,23036,8974,13263,5584,62808
2017-05-31T13:05:08.125+0300,8.0,4.0,877663,377829,89301,10518,55084,18629,8480,44045
2017-05-31T13:05:09.103+0300,8.0,4.0,2544719,689366,129985,110459,72710,64878,19703,32895
2017-05-31T13:05:10.111+0300,8.0,4.0,78956,38598,5886,4345,3727,5953,1675,19290
2017-05-31T13:05:11.098+0300,8.0,4.0,2636647,269272,213577,53399,55859,113839,54457,33531
