time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-31T13:12:46.739+0300,8.0,4.0,211519,6382,356,301,3432,1657,279,9929
2017-05-31T13:12:47.726+0300,8.0,4.0,63792,107926,5404,20887,13031,1828,1183,32408
2017-05-31T13:12:48.731+0300,8.0,4.0,802641,112535,20315,3395,30016,15217,11495,22491
2017-05-31T13:12:49.718+0300,8.0,4.0,426411,180541,49032,4707,24419,26436,12015,21253
2017-05-31T13:12:50.703+0300,8.0,4.0,115173,36950,3693,18133,14159,6670,1612,7553
2017-05-31T13:12:51.700+0300,8.0,4.0,1901806,255343,29484,35459,27557,43531,4868,96214
2017-05-31T13:12:52.695+0300,8.0,4.0,230978,15407,5459,11125,5007,2168,2017,29583
2017-05-31T13:12:53.694+0300,8.0,4.0,226774,177803,42960,24085,14726,14512,6374,105313
2017-05-31T13:12:54.679+0300,8.0,4.0,495538,60194,24488,10354,13051,9290,10096,101304
2017-05-31T13:12:55.687+0300,8.0,4.0,137690,34559,15619,7724,21605,8137,8818,102916
2017-05-31T13:12:56.682+0300,8.0,4.0,579352,110285,23155,11237,25441,6204,4534,104326
2017-05-31T13:12:57.661+0300,8.0,4.0,153789,36420,4016,2696,2379,975,838,5525
2017-05-31T13:12:58.654+0300,8.0,4.0,249689,53758,16107,10050,13504,3601,2602,24304
2017-05-31T13:12:59.650+0300,8.0,4.0,487035,264886,13536,21961,32190,10479,6101,93918
2017-05-31T13:13:00.638+0300,8.0,4.0,1316820,228230,48291,12662,20793,8054,4578,101402
2017-05-31T13:13:01.635+0300,8.0,4.0,110707,18164,2767,904,3038,1111,517,5390
2017-05-31T13:13:02.629+0300,8.0,4.0,495876,66546,34362,16425,23103,24525,6543,82810
2017-05-31T13:13:03.625+0300,8.0,4.0,1178988,87318,29141,18348,51332,18987,15195,102663
2017-05-31T13:13:04.613+0300,8.0,4.0,105289,30734,5129,3035,3973,1523,1332,33391
2017-05-31T13:13:05.602+0300,8.0,4.0,403836,43060,10016,21752,14202,3412,2013,27963
2017-05-31T13:13:06.608+0300,8.0,4.0,34380,38217,274,3905,1973,1186,1414,30808
2017-05-31T13:13:07.176+0300,8.0,4.0,1519138,135076,27270,82563,31991,9086,4292,96961
2017-05-31T13:13:08.164+0300,8.0,4.0,636547,135394,36744,32129,18603,12869,3823,107201
2017-05-31T13:13:09.150+0300,8.0,4.0,1566692,116933,21869,65115,52202,8352,5142,93038
2017-05-31T13:13:10.137+0300,8.0,4.0,2406958,70295,22030,11941,9218,10710,4676,132109
2017-05-31T13:13:11.148+0300,8.0,4.0,398249,20590,12899,4505,8169,10521,5818,133222
2017-05-31T13:13:12.129+0300,8.0,4.0,491116,120539,28323,19524,37538,15473,11421,109336
2017-05-31T13:13:13.130+0300,8.0,4.0,426300,123238,105658,46879,42584,14900,4445,113190
2017-05-31T13:13:14.119+0300,8.0,4.0,149913,279594,91206,58650,57667,14910,6131,85178
2017-05-31T13:13:15.104+0300,8.0,4.0,2596776,601880,36368,34243,58501,36094,34078,104057
2017-05-31T13:13:16.110+0300,8.0,4.0,960112,154391,102498,39355,10336,88156,83414,23543
2017-05-31T13:13:17.099+0300,8.0,4.0,25375,28262,23665,38066,33734,22444,2149,18440
2017-05-31T13:13:18.089+0300,8.0,4.0,595974,43778,24146,28358,8782,20562,6919,6854
2017-05-31T13:13:19.080+0300,8.0,4.0,590535,192182,49238,14910,11885,8026,2250,21207
2017-05-31T13:13:20.074+0300,8.0,4.0,257362,91369,14822,18703,36289,32444,3911,1972
2017-05-31T13:13:21.066+0300,8.0,4.0,693777,196427,3186,10586,12174,3040,3450,14756
2017-05-31T13:13:22.059+0300,8.0,4.0,1372168,366296,33751,9575,40243,11560,14646,78421
2017-05-31T13:13:23.047+0300,8.0,4.0,995322,106584,46181,37084,31424,10182,8480,73038
2017-05-31T13:13:24.050+0300,8.0,4.0,1811932,266731,11151,42342,56298,22896,6646,87754
2017-05-31T13:13:25.040+0300,8.0,4.0,315138,108820,15001,4671,10570,3914,4921,20664
