time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-29T12:12:38.165+0300,8.0,4.0,2225,78727,10782,5977,4736,7342,5490,2447
2017-05-29T12:12:39.154+0300,8.0,4.0,745178,33549,4951,1020,2504,2091,1721,701
2017-05-29T12:12:40.164+0300,8.0,4.0,7520,129292,13575,14173,17205,4033,2332,2055
2017-05-29T12:12:41.152+0300,8.0,4.0,600971,123084,35910,8316,21332,9932,35491,3080
2017-05-29T12:12:42.139+0300,8.0,4.0,2640621,246962,66964,70116,115503,18366,26998,5390
2017-05-29T12:12:43.124+0300,8.0,4.0,256482,81593,25253,10089,3425,10354,25861,4181
2017-05-29T12:12:44.137+0300,8.0,4.0,63688,15855,18992,4622,8058,4560,4519,1436
2017-05-29T12:12:45.105+0300,8.0,4.0,9553,27803,5064,5568,7263,4960,5428,2301
2017-05-29T12:12:46.112+0300,8.0,4.0,315026,16906,1462,11126,3117,7146,5289,2543
2017-05-29T12:12:47.100+0300,8.0,4.0,2343,9471,2169,3478,18843,7612,3040,1841
2017-05-29T12:12:48.092+0300,8.0,4.0,2026,4085,1022,6444,8795,2901,4356,1819
2017-05-29T12:12:49.085+0300,8.0,4.0,212,5628,2007,4427,2826,6434,5564,1426
2017-05-29T12:12:50.079+0300,8.0,4.0,5385,4056,4209,6408,6498,5423,1752,1656
2017-05-29T12:12:51.065+0300,8.0,4.0,3187,3004,868,1862,4252,5675,6561,4635
2017-05-29T12:12:52.058+0300,8.0,4.0,1286,8381,1098,5768,14982,6146,4860,1070
2017-05-29T12:12:53.070+0300,8.0,4.0,7527,4867,581,1041,2571,6170,2006,4839
2017-05-29T12:12:54.060+0300,8.0,4.0,2947,2506,13074,3053,2904,6027,4495,2959
2017-05-29T12:12:55.049+0300,8.0,4.0,1613,5282,4089,13561,11281,5599,4915,4151
2017-05-29T12:12:56.039+0300,8.0,4.0,1577,4233,979,3249,6483,6482,1933,1270
2017-05-29T12:12:57.028+0300,8.0,4.0,1293,15369,3576,4319,8814,6719,3100,6731
2017-05-29T12:12:58.015+0300,8.0,4.0,955,26839,2990,2779,4630,3222,4821,2957
2017-05-29T12:12:59.005+0300,8.0,4.0,2281,3885,3351,4821,4804,4894,2395,2183
2017-05-29T12:12:59.999+0300,8.0,4.0,1989,3521,2789,1515,4196,6597,11332,2635
2017-05-29T12:13:01.011+0300,8.0,4.0,13439,1834,2431,3452,4823,13014,4047,1600
2017-05-29T12:13:01.998+0300,8.0,4.0,3689,1957,8144,1873,1660,3850,2465,4768
2017-05-29T12:13:02.989+0300,8.0,4.0,2160,3259,1623,2039,8995,4172,4553,1439
2017-05-29T12:13:03.979+0300,8.0,4.0,12144,1391,1366,1957,3946,8176,4573,2002
2017-05-29T12:13:04.965+0300,8.0,4.0,2458,4356,917,5234,2065,3586,2568,1615
2017-05-29T12:13:05.959+0300,8.0,4.0,5367,5724,6282,6877,6529,5761,3051,2513
2017-05-29T12:13:06.968+0300,8.0,4.0,2853,15605,7247,4583,4163,8591,2965,2950
2017-05-29T12:13:07.955+0300,8.0,4.0,225570,46470,19392,5848,6297,13104,4686,1861
2017-05-29T12:13:08.947+0300,8.0,4.0,30754,194032,3424,5586,6047,6367,10257,3617
2017-05-29T12:13:09.936+0300,8.0,4.0,16462,12551,887,6392,3677,4480,5758,2491
2017-05-29T12:13:10.923+0300,8.0,4.0,19787,8442,10089,4025,3097,6815,2607,2312
2017-05-29T12:13:11.917+0300,8.0,4.0,137760,20650,1563,386,2385,4267,4020,341
2017-05-29T12:13:12.912+0300,8.0,4.0,3178,33032,1186,1673,7167,10823,2276,4158
2017-05-29T12:13:13.907+0300,8.0,4.0,4057,7684,5216,4059,4200,3908,2350,6055
2017-05-29T12:13:14.895+0300,8.0,4.0,4022,1814,3522,5289,4599,7644,7215,1660
2017-05-29T12:13:15.886+0300,8.0,4.0,8560,4593,1794,4390,3125,2842,2581,2921
2017-05-29T12:13:16.876+0300,8.0,4.0,1865,16159,1636,1207,5522,3499,4591,1178
