time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-31T13:18:33.763+0300,8.0,4.0,1433609,646347,59989,67894,40319,37404,13245,56735
2017-05-31T13:18:34.754+0300,8.0,4.0,558456,315133,14086,15168,121167,21816,6413,54625
2017-05-31T13:18:35.761+0300,8.0,4.0,844361,79032,50585,15411,14622,7562,8169,80045
2017-05-31T13:18:36.747+0300,8.0,4.0,1878855,67793,12697,15094,15835,14323,6616,74284
2017-05-31T13:18:37.736+0300,8.0,4.0,176146,6400,833,653,1601,825,925,5341
2017-05-31T13:18:38.728+0300,8.0,4.0,530742,17350,3360,3796,6291,2274,2315,20430
2017-05-31T13:18:39.720+0300,8.0,4.0,3511345,208563,24093,23399,13020,11178,10420,71597
2017-05-31T13:18:40.710+0300,8.0,4.0,814080,105706,73800,20034,34905,18412,7922,74541
2017-05-31T13:18:41.716+0300,8.0,4.0,759477,84336,28187,14612,33605,6866,8301,66182
2017-05-31T13:18:42.706+0300,8.0,4.0,516614,22567,26949,24472,36572,9543,8650,73330
2017-05-31T13:18:43.690+0300,8.0,4.0,95273,41689,7529,7850,5390,3295,1657,17108
2017-05-31T13:18:44.699+0300,8.0,4.0,195802,20773,2467,12868,11659,2040,1257,20790
2017-05-31T13:18:45.690+0300,8.0,4.0,63298,13568,2577,3822,5491,1761,1179,18131
2017-05-31T13:18:46.678+0300,8.0,4.0,440995,250564,36685,6655,41265,9507,5322,72983
2017-05-31T13:18:47.666+0300,8.0,4.0,433190,277149,22576,18243,12899,12925,8480,82989
2017-05-31T13:18:48.670+0300,8.0,4.0,179255,39564,16536,6479,7120,2099,1378,17224
2017-05-31T13:18:49.650+0300,8.0,4.0,150719,32830,11960,3702,7143,3512,1090,18877
2017-05-31T13:18:50.637+0300,8.0,4.0,936234,22318,6949,3793,5325,2945,1790,17699
2017-05-31T13:18:51.645+0300,8.0,4.0,347112,172126,20551,21498,14326,10747,4820,74746
2017-05-31T13:18:52.636+0300,8.0,4.0,558941,169370,34067,23881,24989,14154,5903,89962
2017-05-31T13:18:53.625+0300,8.0,4.0,673186,112532,15156,21651,13866,12361,11210,70666
2017-05-31T13:18:54.615+0300,8.0,4.0,308538,178633,18255,19254,16084,8954,8808,67035
2017-05-31T13:18:55.606+0300,8.0,4.0,48820,16649,9610,5085,2898,3157,1193,19969
2017-05-31T13:18:56.591+0300,8.0,4.0,1168365,113186,19003,12680,22289,7242,9737,74428
2017-05-31T13:18:57.601+0300,8.0,4.0,365081,44001,10071,2647,12289,14726,4578,80520
2017-05-31T13:18:58.584+0300,8.0,4.0,81629,21238,3653,561,1773,264,207,4581
2017-05-31T13:18:59.574+0300,8.0,4.0,2034545,135033,63667,35202,49838,14163,11760,68509
2017-05-31T13:19:00.565+0300,8.0,4.0,121317,90547,4850,14081,4609,3939,1778,17611
2017-05-31T13:19:01.574+0300,8.0,4.0,105598,50672,14810,10140,4549,10786,4511,75758
2017-05-31T13:19:02.563+0300,8.0,4.0,616023,237474,29757,11821,27001,11084,4895,72007
2017-05-31T13:19:03.554+0300,8.0,4.0,129292,48191,10609,2036,6423,3332,1190,13974
2017-05-31T13:19:04.543+0300,8.0,4.0,1692205,272882,90105,21894,73314,22100,16206,64653
2017-05-31T13:19:05.532+0300,8.0,4.0,130767,20870,2646,959,676,1088,624,4177
2017-05-31T13:19:06.521+0300,8.0,4.0,408850,20155,7925,12448,6036,2431,1691,15337
2017-05-31T13:19:07.526+0300,8.0,4.0,957670,18969,3124,7166,9321,3471,2979,16676
2017-05-31T13:19:08.515+0300,8.0,4.0,43045,36251,2999,2112,6162,5009,3103,20845
2017-05-31T13:19:09.496+0300,8.0,4.0,180173,20241,2217,3415,3922,2805,2210,21674
2017-05-31T13:19:10.508+0300,8.0,4.0,188215,83521,10368,11359,16622,2756,2754,16363
2017-05-31T13:19:11.496+0300,8.0,4.0,654873,269849,29116,8317,44214,5449,12228,83289
2017-05-31T13:19:12.486+0300,8.0,4.0,722906,225440,28527,13048,39627,12157,9789,84185
