time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-23T12:23:10.078+0300,10.0,5.0,511995,330279,23592,23815,27190,22072,6937,1938
2017-05-23T12:23:34.898+0300,10.0,5.0,92091,51163,18178,7424,8695,8894,2703,820
2017-05-23T12:23:35.886+0300,10.0,5.0,144524,30843,6322,28056,7449,8240,3274,857
2017-05-23T12:23:36.874+0300,10.0,5.0,385238,141885,57018,27065,29120,27838,13718,5732
2017-05-23T12:24:15.592+0300,10.0,5.0,435616,27252,42796,30333,14294,24090,5297,2513
2017-05-23T12:24:30.475+0300,10.0,5.0,116013,103371,51185,29343,21305,17370,3422,1901
2017-05-23T12:24:50.331+0300,10.0,5.0,20702,17637,8662,5200,5330,3552,2008,466
2017-05-23T12:25:11.175+0300,10.0,5.0,632306,69114,43826,12686,20181,20345,11388,6016
2017-05-23T12:25:12.184+0300,10.0,5.0,714955,56756,70776,62728,19274,15180,8974,4366
2017-05-23T12:25:13.178+0300,10.0,5.0,221993,23920,7766,15485,6530,7605,1442,835
2017-05-23T12:25:28.051+0300,10.0,5.0,585027,25340,966,8283,7362,16961,2162,974
2017-05-23T12:25:29.048+0300,10.0,5.0,224523,48520,4889,13466,9435,4523,1678,756
2017-05-23T12:25:30.033+0300,10.0,5.0,2496,13741,2320,5252,3322,2426,1245,371
2017-05-23T12:25:31.048+0300,10.0,5.0,35825,35836,14569,5916,7061,2832,2032,1037
2017-05-23T12:25:32.035+0300,10.0,5.0,103682,60541,6429,9196,13559,15714,7944,3133
2017-05-23T12:25:38.977+0300,10.0,5.0,1432341,121472,32915,40602,23770,11304,5802,5947
2017-05-23T12:25:59.828+0300,10.0,5.0,773524,318032,164092,44636,78140,40437,24806,17976
2017-05-23T12:26:00.817+0300,10.0,5.0,3346472,627821,86738,10566,68064,79793,42116,25328
2017-05-23T12:27:38.092+0300,10.0,5.0,8545,20348,10868,1608,3045,2008,660,444
2017-05-23T12:30:16.928+0300,10.0,5.0,34978,21741,1525,3710,3149,3384,910,642
2017-05-23T12:31:13.735+0300,10.0,5.0,43842,10490,10627,9351,4225,1685,416,433
2017-05-23T12:31:14.736+0300,10.0,5.0,438874,76065,29157,6929,2835,11591,4763,1663
2017-05-23T12:32:17.277+0300,10.0,5.0,32931,27422,20273,4560,11682,8881,8153,3513
2017-05-23T12:32:18.260+0300,10.0,5.0,111254,52170,7571,3302,2216,2393,1633,660
2017-05-23T12:32:19.263+0300,10.0,5.0,53751,27383,6060,25169,4674,7462,5450,2468
2017-05-23T12:32:25.206+0300,10.0,5.0,40619,22585,5856,2176,4790,3341,723,440
2017-05-23T12:32:44.072+0300,10.0,5.0,25085,56696,5838,8233,9567,11547,3738,1214
2017-05-23T12:32:45.060+0300,10.0,5.0,93341,84857,20658,19271,7299,10842,8688,2918
2017-05-23T12:32:46.049+0300,10.0,5.0,200782,214363,21925,6678,7607,8534,2459,652
2017-05-23T12:32:47.050+0300,10.0,5.0,17682,20484,1303,1768,1893,1867,924,500
2017-05-23T12:34:29.286+0300,10.0,5.0,39539,22716,33356,15773,8587,5803,1727,1309
2017-05-23T12:34:30.279+0300,10.0,5.0,14608,41486,21738,3961,3532,5675,4656,1535
2017-05-23T12:34:44.185+0300,10.0,5.0,46119,15174,6216,4898,5230,6963,1694,1984
2017-05-23T12:34:48.143+0300,10.0,5.0,112140,18549,522,2915,1520,3562,734,370
2017-05-23T12:34:49.149+0300,10.0,5.0,23035,8921,8562,9649,2686,12833,2802,1276
2017-05-23T12:34:50.143+0300,10.0,5.0,94472,104486,8081,2128,3134,3488,1397,340
2017-05-23T12:34:51.134+0300,10.0,5.0,7789,11462,1546,3398,5137,1559,1785,399
2017-05-23T12:35:14.960+0300,10.0,5.0,23406,13781,16538,10144,10499,9422,1733,4048
2017-05-23T12:35:17.936+0300,10.0,5.0,7663,9602,3374,7195,3018,1961,1433,490
2017-05-23T12:35:56.641+0300,10.0,5.0,144042,178130,59892,34650,9837,9041,4961,4176
