time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-24T14:25:49.102+0300,8.0,4.0,419492,93118,35231,19388,42693,16659,9599,9579
2017-05-24T14:25:50.089+0300,8.0,4.0,40485,21334,5497,5066,6529,2761,2758,1316
2017-05-24T14:25:51.084+0300,8.0,4.0,1618760,98381,5796,12546,28535,23470,52615,9862
2017-05-24T14:25:52.092+0300,8.0,4.0,734282,189128,54784,144896,87958,22264,18310,19353
2017-05-24T14:25:53.079+0300,8.0,4.0,694039,135487,38290,23318,13443,17050,8480,2601
2017-05-24T14:25:54.075+0300,8.0,4.0,906111,226147,78420,49535,19104,22848,12275,10697
2017-05-24T14:25:55.066+0300,8.0,4.0,164007,15542,5649,2068,1640,2587,2049,1300
2017-05-24T14:25:56.055+0300,8.0,4.0,21393,28078,29065,2161,12941,5341,5441,2926
2017-05-24T14:25:57.049+0300,8.0,4.0,131517,73604,5265,6112,2261,2301,1705,691
2017-05-24T14:25:58.033+0300,8.0,4.0,1766073,310828,87918,11917,30706,12307,30193,10051
2017-05-24T14:26:03.013+0300,8.0,4.0,101436,9167,4509,3010,1961,531,321,162
2017-05-24T14:26:04.003+0300,8.0,4.0,23533,28188,26286,24735,5404,6905,2856,1591
2017-05-24T14:26:04.996+0300,8.0,4.0,2719,19388,4777,13210,6330,3167,3380,2284
2017-05-24T14:26:05.989+0300,8.0,4.0,10403,201679,32190,7289,16759,3617,3094,1582
2017-05-24T14:26:06.978+0300,8.0,4.0,3405,9743,11446,13185,7442,4035,4270,1378
2017-05-24T14:26:11.940+0300,8.0,4.0,11290,25502,22333,7845,1324,7659,1480,1342
2017-05-24T14:26:12.929+0300,8.0,4.0,5544,37839,1919,5564,3618,3745,1690,1929
2017-05-24T14:26:13.922+0300,8.0,4.0,59433,31922,20030,6353,4832,1020,525,502
2017-05-24T14:26:14.911+0300,8.0,4.0,63178,6474,66549,9130,4924,3517,898,2626
2017-05-24T14:26:15.919+0300,8.0,4.0,22397,42143,15421,6370,8161,8361,1242,1620
2017-05-24T14:26:25.825+0300,8.0,4.0,1140,10561,1321,2218,1474,917,751,334
2017-05-24T14:26:26.833+0300,8.0,4.0,575000,66265,44785,746,6187,17757,2957,2665
2017-05-24T14:26:27.824+0300,8.0,4.0,3441,14113,15074,13552,9270,4715,1298,830
2017-05-24T14:26:28.815+0300,8.0,4.0,2590,24396,3477,7358,3729,3614,2088,1119
2017-05-24T14:26:29.806+0300,8.0,4.0,10438,29196,6194,22062,6898,5110,3601,1851
2017-05-24T14:26:30.799+0300,8.0,4.0,4532,18718,2681,8094,6473,2701,3179,1413
2017-05-24T14:26:31.787+0300,8.0,4.0,6739,25738,5847,19338,10542,6342,1635,2551
2017-05-24T14:26:32.776+0300,8.0,4.0,300923,50065,13444,7659,4181,2202,617,421
2017-05-24T14:26:33.786+0300,8.0,4.0,13837,12300,6664,2106,4826,3898,2613,1172
2017-05-24T14:26:35.767+0300,8.0,4.0,3402,33704,5836,11054,5279,6785,2066,967
2017-05-24T14:26:38.737+0300,8.0,4.0,13297,9900,6076,29354,7910,6550,1446,1080
2017-05-24T14:26:39.730+0300,8.0,4.0,36779,125405,14403,20703,28341,9132,3101,589
2017-05-24T14:26:40.719+0300,8.0,4.0,1647414,376034,94278,27326,24393,13006,8974,4923
2017-05-24T14:26:41.710+0300,8.0,4.0,8668,30806,4466,2340,3698,5572,2631,2382
2017-05-24T14:26:46.675+0300,8.0,4.0,56260,37596,2088,16477,7575,12412,3165,2403
2017-05-24T14:26:47.666+0300,8.0,4.0,8094,4720,4072,1153,1329,1370,434,277
2017-05-24T14:26:48.674+0300,8.0,4.0,4330,14300,4275,1136,9423,2445,1308,1263
2017-05-24T14:26:49.660+0300,8.0,4.0,18291,33465,4597,6238,2315,5555,1556,1282
2017-05-24T14:26:50.652+0300,8.0,4.0,12555,17811,7095,3898,4870,4764,2508,2164
2017-05-24T14:26:51.643+0300,8.0,4.0,10072,9780,8395,15521,7066,4007,2087,3411
