time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-24T14:27:35.326+0300,8.0,4.0,158228,13650,18637,5066,6763,2217,555,362
2017-05-24T14:27:36.309+0300,8.0,4.0,139568,73821,8862,24912,8279,3367,2772,1360
2017-05-24T14:27:37.298+0300,8.0,4.0,14563,46499,1350,2053,11926,2004,3295,4950
2017-05-24T14:27:43.253+0300,8.0,4.0,3367,16576,39536,14516,8010,6070,4212,2423
2017-05-24T14:27:44.266+0300,8.0,4.0,18702,22181,26592,7706,5583,21004,994,1907
2017-05-24T14:27:45.253+0300,8.0,4.0,5036,20649,7399,4886,3384,2362,656,898
2017-05-24T14:27:46.243+0300,8.0,4.0,8540,14832,39737,13777,5925,4912,1674,1791
2017-05-24T14:27:47.233+0300,8.0,4.0,4926,175247,6089,10820,11357,5041,1698,931
2017-05-24T14:27:48.221+0300,8.0,4.0,259228,29855,13275,2356,4481,5302,881,342
2017-05-24T14:27:51.194+0300,8.0,4.0,24773,48930,31661,22650,16467,6993,1558,4529
2017-05-24T14:27:52.204+0300,8.0,4.0,517677,69830,61682,21210,14705,4077,4441,1473
2017-05-24T14:27:53.193+0300,8.0,4.0,7145,6567,53239,2658,13989,8715,1755,1059
2017-05-24T14:27:54.183+0300,8.0,4.0,12214,19985,679,21067,4848,2618,1812,982
2017-05-24T14:27:58.146+0300,8.0,4.0,7189,32618,40065,17116,9193,2512,1057,1365
2017-05-24T14:28:03.113+0300,8.0,4.0,15188,65885,32684,7967,4030,5652,1191,1663
2017-05-24T14:28:04.104+0300,8.0,4.0,10971,20578,4505,9555,3398,2115,816,604
2017-05-24T14:28:05.108+0300,8.0,4.0,896536,172904,50434,17078,16398,17905,5678,3509
2017-05-24T14:28:12.045+0300,8.0,4.0,25403,24728,2961,8967,9074,4480,2172,1970
2017-05-24T14:28:13.050+0300,8.0,4.0,7626,15965,5795,3180,4002,2279,1582,964
2017-05-24T14:28:15.025+0300,8.0,4.0,10840,28452,7315,9819,8534,4107,2862,1229
2017-05-24T14:28:16.014+0300,8.0,4.0,8840,5969,6977,3847,6992,5620,4279,1504
2017-05-24T14:28:17.023+0300,8.0,4.0,280882,65065,3299,26439,11068,9323,1826,1367
2017-05-24T14:28:17.997+0300,8.0,4.0,143560,44550,2562,1130,1593,2615,1390,316
2017-05-24T14:28:18.989+0300,8.0,4.0,13371,7729,30567,20772,6256,8207,1450,1883
2017-05-24T14:28:19.999+0300,8.0,4.0,8235,42083,42861,7431,17688,6217,4302,951
2017-05-24T14:28:20.989+0300,8.0,4.0,5883,105794,64392,4346,8804,4285,2068,927
2017-05-24T14:28:46.786+0300,8.0,4.0,14204,29183,9127,16514,6260,7412,1455,872
2017-05-24T14:28:47.795+0300,8.0,4.0,3252,41091,3326,5539,12676,3714,1480,1343
2017-05-24T14:28:48.785+0300,8.0,4.0,8319,23356,6006,5057,2345,1289,685,270
2017-05-24T14:28:59.701+0300,8.0,4.0,48987,85083,16191,12279,51246,13903,2546,786
2017-05-24T14:29:00.693+0300,8.0,4.0,281227,19346,2466,1669,2586,870,547,226
2017-05-24T14:29:01.680+0300,8.0,4.0,11053,16975,3880,7925,3759,6802,6462,1401
2017-05-24T14:29:02.671+0300,8.0,4.0,10713,23010,37276,14471,3307,6080,1158,1936
2017-05-24T14:29:03.662+0300,8.0,4.0,18217,20106,3156,11650,10042,3620,4915,1340
2017-05-24T14:29:14.595+0300,8.0,4.0,12310,63596,8208,10643,2576,5309,1073,1101
2017-05-24T14:29:15.581+0300,8.0,4.0,4868,8990,13188,3099,6476,2686,1193,1152
2017-05-24T14:29:16.574+0300,8.0,4.0,12138,64558,12553,7859,14145,2856,5190,1182
2017-05-24T14:29:17.563+0300,8.0,4.0,137305,16819,2018,6917,4172,4364,821,293
2017-05-24T14:29:20.546+0300,8.0,4.0,11781,5747,3076,11439,5093,3633,1581,1497
2017-05-24T14:29:21.532+0300,8.0,4.0,1170,7288,6806,4967,9590,3719,2737,2004
