time,primeFreq,secondFreq,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
2017-05-08T13:40:24.228+0300,10.0,5.0,13293,1757,1146,486,352,741,400,362
2017-05-08T13:40:28.193+0300,10.0,5.0,28239,4893,5691,2613,6199,4457,1987,1119
2017-05-08T13:40:40.118+0300,10.0,5.0,3139,6517,2370,3604,1011,5944,1562,1069
2017-05-08T13:40:41.101+0300,10.0,5.0,1419,1824,2441,385,715,483,253,203
2017-05-08T13:40:42.111+0300,10.0,5.0,3259,6803,1387,2730,4162,3738,2428,701
2017-05-08T13:40:45.070+0300,10.0,5.0,4573,5204,2570,1079,4648,4038,2807,1738
2017-05-08T13:40:46.077+0300,10.0,5.0,3115,4709,2567,2115,5988,2211,1078,767
2017-05-08T13:40:47.064+0300,10.0,5.0,1464,12142,394,1154,9913,3410,1203,1056
2017-05-08T13:40:48.052+0300,10.0,5.0,3305,8143,3086,503,6991,5377,2961,1416
2017-05-08T13:40:49.044+0300,10.0,5.0,3298,2841,2538,1078,2841,2344,1378,984
2017-05-08T13:40:50.035+0300,10.0,5.0,4306,15821,965,3002,2407,3179,2079,788
2017-05-08T13:40:51.043+0300,10.0,5.0,10427,15154,5715,1236,8150,4692,1712,640
2017-05-08T13:40:52.028+0300,10.0,5.0,5618,8026,1742,4309,6949,6601,1244,709
2017-05-08T13:40:53.019+0300,10.0,5.0,3090,7793,176,3357,7187,3223,537,1000
2017-05-08T13:41:20.813+0300,10.0,5.0,5793,8515,4376,3202,2367,5762,999,1150
2017-05-08T13:41:22.790+0300,10.0,5.0,17009,7082,11221,895,6065,4730,1223,1444
2017-05-08T13:41:23.785+0300,10.0,5.0,946725,21798,4371,2526,2527,817,232,102
2017-05-08T13:41:24.794+0300,10.0,5.0,1005613,60106,25327,24201,28904,9669,1333,523
2017-05-08T13:42:17.408+0300,10.0,5.0,2034,11733,6337,3180,2384,3818,778,785
2017-05-08T13:42:18.398+0300,10.0,5.0,7531,1856,2399,2713,966,2743,2041,637
2017-05-08T13:42:19.372+0300,10.0,5.0,6578,7265,2745,2880,6740,4399,1352,753
2017-05-08T13:42:20.381+0300,10.0,5.0,8277,3135,1413,2757,13937,3145,1019,882
2017-05-08T13:42:21.364+0300,10.0,5.0,21511,4270,6456,5597,7283,2570,1148,1421
2017-05-08T13:42:22.352+0300,10.0,5.0,6077,2861,2112,2808,12546,1914,2620,1017
2017-05-08T13:42:23.341+0300,10.0,5.0,6336,6810,1465,1570,6291,7536,2110,596
2017-05-08T13:42:24.347+0300,10.0,5.0,5806,4625,1964,1121,1337,3784,2135,837
2017-05-08T13:42:25.337+0300,10.0,5.0,3939,5456,6026,5879,12024,4071,1588,539
2017-05-08T13:42:26.325+0300,10.0,5.0,6707,6484,3818,5231,13696,3948,1197,880
2017-05-08T13:42:27.332+0300,10.0,5.0,5118,3844,2665,2562,5369,3378,718,1606
2017-05-08T13:42:28.321+0300,10.0,5.0,3626,10709,736,5146,4527,2425,1655,947
2017-05-08T13:42:29.306+0300,10.0,5.0,2841,6359,3870,7263,2945,2463,2219,663
2017-05-08T13:42:39.245+0300,10.0,5.0,1569,4847,5032,1682,3271,3664,2482,927
2017-05-08T13:42:40.238+0300,10.0,5.0,14158,8820,2363,3285,3335,2993,480,1129
2017-05-08T13:42:41.223+0300,10.0,5.0,10103,4944,2151,5207,3684,4031,1268,991
2017-05-08T13:42:42.217+0300,10.0,5.0,3327,10240,3852,4553,872,6505,856,997
2017-05-08T13:42:43.211+0300,10.0,5.0,10168,9403,2821,4569,4614,5574,1005,1926
2017-05-08T13:42:44.203+0300,10.0,5.0,2209,5252,4788,2097,2382,4685,2927,1160
2017-05-08T13:42:45.191+0300,10.0,5.0,14900,8540,2436,5197,2643,3182,797,459
2017-05-08T13:42:46.180+0300,10.0,5.0,11584,8018,3261,2228,5402,3501,1121,959
2017-05-08T13:42:47.173+0300,10.0,5.0,3744,4148,1949,6168,4630,4309,1370,807
